station,mjd_start,mjd_stop,ratio_amp,ratio_phas
AA,57847.85486342592,57854.72083564815,1.000,-0.000
JC,57847.85486342592,57854.72083564815,1.000,-0.000
SR,57847.85486342592,57854.72083564815,1.000,-0.000
LM,57847.85486342592,57854.72083564815,0.966,11.962
PV,57847.85486342592,57854.72083564815,0.999,-84.635
SP,57847.85486342592,57854.72083564815,0.836,60.653
AZ,57847.85486342592,57848.793752314814,1.030,82.653
AZ,57848.94861342592,57849.75764120371,1.030,73.042
AZ,57850.08523379629,57850.94375231481,1.030,66.540
AZ,57852.88680787037,57853.71250231481,1.030,42.072
AZ,57853.84444675925,57854.72083564815,1.030,33.343
AP,57847.85486342592,57848.793752314814,1.048,"-105.613, -7.102"
AP,57848.94861342592,57849.75764120371,1.048,"-91.973, 25.799"
AP,57850.08523379629,57850.94375231481,1.048,"110.050, 20.331"
AP,57852.88680787037,57853.71250231481,1.048,"171.856, 28.853"
AP,57853.92278009259,57854.0166875,1.048,"-160.563, 26.900"
AP,57854.02347453705,57854.36541898147,1.048,"70.588, -18.136"
AP,57854.3790300926,57854.584863425924,1.048,"68.525, 33.734"
SM,57847.85486342592,57848.793752314814,0.847,"-322.975, 3380.882, -8268.679, 6058.386"
SM,57848.94861342592,57849.75764120371,0.847,"870.911, -7328.857, 15732.674, -10759.603"
SM,57850.08523379629,57850.94375231481,0.847,"1046.638, -7676.774, 15563.891, -9698.447"
SM,57852.88680787037,57853.71250231481,0.847,"2379.170, -11004.740, 25270.672, -18489.815"
SM,57853.84444675925,57854.72083564815,0.847,"639.472, -4094.485, 11632.170, -8423.376"
